original_product,normalized_product,reason,confidence,approved,reviewer_note
Sote Phwar 1 L,Sote Phwar 1L,recognized_volume_alias,high,,observed_in_database
Sote Phwar 100 mL,Sote Phwar 100 mL,recognized_volume_alias,high,,observed_in_database
Sote Phwar 1L,Sote Phwar 1L,recognized_volume_alias,high,,observed_in_database
Sote Phwar 4 L,Sote Phwar 4L,recognized_volume_alias,high,,observed_in_database
Sote Phwar 4L,Sote Phwar 4L,recognized_volume_alias,high,,observed_in_database
Sote Phwar 500 ml,Sote Phwar 500 mL,recognized_volume_alias,high,,observed_in_database
Sote Phwar 500 mL,Sote Phwar 500 mL,recognized_volume_alias,high,,observed_in_database
